InChIKey,InChI,IC50
458,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1NS(=O)(=O)c1ccc(Cl)cc1)C(C)(C)C, 3.5
459,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1NS(=O)(=O)c1ccc(cc1)C(F)(F)F)C(C)(C)C, 12.3
460,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1NS(=O)(=O)c1ccc(cc1)C#N)C(C)(C)C, 2.1
462,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1NS(=O)(=O)c1cccc(c1)-c1cccs1)C(C)(C)C, 6.3
463,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1NS(=O)(=O)c1nccn1C)C(C)(C)C, 1.9
464,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C2CC2)c(cc1NS(=O)(=O)c1ccccc1)C(C)(C)C, 3.6
465,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C2CCCC2)c(cc1NS(=O)(=O)c1ccccc1)C(C)(C)C, 8.6
466,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(N)cc2C(C)(C)C)C(=O)O1, 3.6
470,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(NS(=O)(=O)c3ccc(cc3)C#N)cc2C(C)(C)C)C(=O)O1, 9.1
471,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(NS(=O)(=O)c3cccs3)cc2C(C)(C)C)C(=O)O1, 3.6
472,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(NS(=O)(=O)c3ccccn3)cc2C(C)(C)C)C(=O)O1, 3.0
473,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(NS(=O)(=O)c3cccnc3)cc2C(C)(C)C)C(=O)O1, 3.5
474,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(NS(=O)(=O)c3nccn3C)cc2C(C)(C)C)C(=O)O1, 1.9
477,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(C)(=O)=O)cc2C(C)(C)C)C(=O)O1, 2.2
478,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccccc3)cc2C(C)(C)C)C(=O)O1, 10.4
479,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccc(F)cc3)cc2C(C)(C)C)C(=O)O1, 9.6
480,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccc(cc3)C#N)cc2C(C)(C)C)C(=O)O1, 4.5
481,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3cccs3)cc2C(C)(C)C)C(=O)O1, 21.8
482,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3nccn3C)cc2C(C)(C)C)C(=O)O1, 2.4
483,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccccn3)cc2C(C)(C)C)C(=O)O1, 5.0
484,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3cccnc3)cc2C(C)(C)C)C(=O)O1, 3.5
485,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1OS(=O)(=O)c1ccccc1)C(C)(C)C, 9.8
486,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1OS(=O)(=O)c1ccc(F)cc1)C(C)(C)C, 16.9
487,Cc1cc(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(cc1OS(=O)(=O)c1nccn1C)C(C)(C)C, 2.0
488,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C2CCCCC2)c(cc1OS(=O)(=O)c1ccccc1)C(C)(C)C, 130
489,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C2CCCCC2)c(cc1OS(=O)(=O)c1ccc(cc1)C#N)C(C)(C)C, 21.0
490,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C2CCCCC2)c(cc1OS(=O)(=O)c1ccc(F)cc1)C(C)(C)C, 29.0
491,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C2CCCCC2)c(cc1OS(=O)(=O)c1nccn1C)C(C)(C)C, 8.0
492,CCCC1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3nccn3C)cc2C(C)(C)C)C(=O)O1, 2.2
493,CC(C)CC1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3nccn3C)cc2C(C)(C)C)C(=O)O1, 3.6
495,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3nccn3C)cc2C(C)(C)C)C(=O)O1, 3.0
496,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccccn3)cc2C(C)(C)C)C(=O)O1, 6.7
497,CC(C)C1(CCc2ccccc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3cccnc3)cc2C(C)(C)C)C(=O)O1, 14.0
498,CC(C)C1(CCc2ccc(N)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccc(cc3)C#N)cc2C(C)(C)C)C(=O)O1, 1.3
499,CC(C)C1(CCc2ccc(N)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3cccc(c3)-c3cccnc3)cc2C(C)(C)C)C(=O)O1, 4.1
500,CC(C)C1(CCc2ccc(N)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3nccn3C)cc2C(C)(C)C)C(=O)O1, 2.2
501,CC(C)C1(CCc2ccc(N)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)c3ccccc3-c3cccs3)cc2C(C)(C)C)C(=O)O1, 18.5
502,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(NS(=O)(=O)N(C)C)cc2C(C)(C)C)C(=O)O1, 3.6
503,CCNS(=O)(=O)Nc1cc(c(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C(C)C)cc1C)C(C)(C)C, 1.7
504,CCNS(=O)(=O)Nc1cc(c(SC2C(=O)CC(CCc3ccccc3)(OC2=O)C(C)C)cc1C)C(C)(C)C, 3.3
505,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)N(C)C)cc2C(C)(C)C)C(=O)O1, 3.4
506,CCNS(=O)(=O)Oc1cc(c(SC2C(=O)CC(CCc3ccc(O)cc3)(OC2=O)C(C)C)cc1C)C(C)(C)C, 4.9
507,CC(C)C1(CCc2ccc(N)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)N(C)C)cc2C(C)(C)C)C(=O)O1, 3.9
508,CCNS(=O)(=O)Oc1cc(c(SC2C(=O)CC(CCc3ccc(N)cc3)(OC2=O)C(C)C)cc1C)C(C)(C)C, 4.3
509,CCNS(=O)(=O)Oc1cc(c(SC2C(=O)CC(CCc3ccccc3)(OC2=O)C(C)C)cc1C)C(C)(C)C, 8.9
519,CNC(=O)N(C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,>10000
520,CCCCNC(=O)N(C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,>10000
521,CNC(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1, 1500
522,CCCCNC(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1, 940
